;Perm State University, Perm, Russia, 614990;;;;
2244;11;13;0.00899999;56.11510086;32.63710022
2245;11;13;0.0252;56.11560059;33.02410126
2246;11;13;0.0117;56.11539841;33.31880188
2247;11;13;0.00900001;56.11520004;32.86660004
2248;11;13;0.00449999;56.11529922;33.18899918
2249;11;13;0.016922601;56.11579895;33.28499985
2250;11;13;0.0036;56.11529922;33.09149933
2251;11;13;0.0117;56.11589813;32.49810028
2252;11;13;0.0027;56.11560059;33.15980148
2253;11;13;0.0135;56.11619949;32.66930008
2254;11;13;0.037799999;56.11669922;33.09859848
2255;11;13;0.0027;56.11600113;33.18999863
2256;11;13;0.0153;56.11709976;33.21490097
2257;11;13;0.00270001;56.11640167;32.64089966
2258;11;13;0.0036;56.11660004;32.64799881
2259;11;13;0.0117;56.11700058;32.65169907
2260;11;13;0.00269999;56.11660004;33.09009933
2261;11;13;0.033300001;56.11769867;32.6385994
2262;11;13;0.0117;56.11719894;32.98970032
2263;11;13;0.057551;56.11830139;33.27949905
2264;11;13;0.0132709;56.11700058;33.16500092
2265;11;13;0.039188702;56.11780167;33.22169876
2266;11;13;0.0027;56.1169014;32.4734993
2267;11;13;0.00539999;56.11729813;33.18769836
2268;11;13;0.152999997;56.11989975;32.49079895
2269;11;13;0.032400001;56.11809921;32.36399841
2270;11;13;0.0135;56.11800003;33.09619904
2271;11;13;0.00360001;56.11790085;32.48479843
2272;11;13;0.0027;56.11819839;33.18420029
2273;11;13;0.018041199;56.1189003;33.05049896
2274;11;13;0.071099997;56.11989975;32.7378006
2275;11;13;0.0081;56.11930084;33.31779861
2276;11;13;0.0027;56.11940002;32.50870132
2277;11;13;0.017999999;56.11999893;33.03440094
2278;11;13;0.035872102;56.12080002;33.1230011
2279;11;13;0.0045;56.11989975;32.83850098
2280;11;13;0.03167;56.12129974;33.31299973
2281;11;13;0.0126;56.12030029;33.31560135
2282;11;13;0.0542196;56.12269974;33.13399887
2283;11;13;0.00360001;56.11989975;32.86339951
2284;11;13;0.00526243;56.11999893;33.04529953
2285;11;13;0.070147902;56.12220001;32.957901
2286;11;13;0.0297;56.12070084;33.22069931
2287;11;13;0.118923001;56.12189865;32.4844017
2288;11;13;0.0261;56.1208992;32.85139847
2289;11;13;0.00809999;56.12080002;32.50149918
2290;11;13;0.374576986;56.12620163;33.16569901
2291;11;13;0.017100001;56.12139893;32.49499893
2292;11;13;0.0045;56.1208992;32.3526001
2293;11;13;0.0027;56.1208992;32.64870071
2294;11;13;0.0036;56.12099838;32.65119934
2295;11;13;0.0135;56.12120056;33.31769943
2296;11;13;0.0126;56.1216011;32.84719849
2297;11;13;0.00449999;56.12149811;33.06549835
2298;11;13;0.0036;56.12149811;32.49710083
2299;11;13;0.0108;56.12179947;33.21459961
2300;11;13;0.0099;56.12210083;33.13190079
2301;11;13;0.0036;56.12220001;32.68230057
2302;11;13;0.00630001;56.12229919;32.45119858
2303;11;13;0.0198;56.12250137;33.22589874
2304;11;13;0.0130155;56.12250137;32.93320084
2305;11;13;0.102600001;56.125;32.94070053
2306;11;13;0.0063;56.12260056;33.26890182
2307;11;13;0.00990001;56.12360001;32.6332016
2308;11;13;0.00900001;56.12360001;32.64789963
2309;11;13;0.135635003;56.12530136;33.12400055
2310;11;13;0.00269999;56.12379837;33.03739929
2311;11;13;0.0027;56.12390137;33.04059982
2312;11;13;0.00442526;56.12409973;32.9435997
2313;11;13;0.0189;56.12509918;33.22079849
2314;11;13;0.00269999;56.12480164;33.32220078
2315;11;13;0.053100001;56.12630081;32.72240067
2316;11;13;0.0036;56.125;32.51890182
2317;11;13;0.0424188;56.12590027;33.13339996
2318;11;13;0.0261;56.12609863;32.48709869
2319;11;13;0.0027;56.12519836;32.86270142
2320;11;13;0.0189;56.12599945;33.02249908
2321;11;13;0.026076401;56.12590027;32.99980164
2322;11;13;0.0162;56.12649918;32.95980072
2323;11;13;0.00540001;56.12599945;32.63059998
2324;11;13;0.055307999;56.12680054;32.95389938
2325;11;13;0.0108;56.12639999;32.42490005
2326;11;13;0.342981994;56.13290024;33.17499924
2327;11;13;0.0036;56.12630081;32.43709946
2328;11;13;0.030740401;56.1269989;32.99100113
2329;11;13;0.0027;56.1269989;32.94660187
2330;11;13;0.0108;56.12760162;32.4280014
2331;11;13;0.0063;56.12779999;32.94869995
2332;11;13;0.0189;56.12820053;33.1228981
2333;11;13;0.025851199;56.12900162;33.13349915
2334;11;13;0.0027;56.12789917;32.4858017
2335;11;13;0.057653502;56.12900162;32.95909882
2336;11;13;0.0027;56.12810135;32.42950058
2337;11;13;0.0108;56.12850189;33.22890091
2338;11;13;0.0036;56.12829971;32.44300079
2339;11;13;0.00359999;56.12829971;32.4695015
2340;11;13;0.00270001;56.12829971;33.11869812
2341;11;13;0.00359999;56.12850189;32.94079971
2342;11;13;0.0027;56.12850189;32.94469833
2343;11;13;0.078299999;56.12990189;32.94929886
2344;11;13;0.0162;56.12929916;33.00329971
2345;11;13;0.0045;56.12900162;32.49990082
2346;11;13;0.0144;56.12950134;32.43460083
2347;11;13;0.0045;56.12960052;33.01779938
2348;11;13;0.0629666;56.13100052;32.88650131
2349;11;13;0.0099;56.12969971;33.30089951
2350;11;13;0.034058198;56.13180161;33.12310028
2351;11;13;0.036899999;56.13069916;32.70119858
2352;11;13;0.0027;56.13000107;32.46319962
2353;11;13;0.036899999;56.13119888;33.01850128
2354;11;13;0.0036;56.13100052;33.12110138
2355;11;13;0.0027;56.13130188;33.20999908
2356;11;13;0.073799998;56.1330986;33.10800171
2357;11;13;0.0189;56.13190079;32.53300095
2358;11;13;0.0063;56.13199997;33.00260162
2359;11;13;0.084024698;56.13370132;33.23180008
2360;11;13;0.00450001;56.13219833;32.66759872
2361;11;13;0.0036;56.13209915;32.49000168
2362;11;13;0.0027;56.13199997;33.02799988
2363;11;13;0.0306;56.13280106;33.11999893
2364;11;13;0.0063;56.13219833;33.05110168
2365;11;13;0.00359999;56.13219833;33.11220169
2366;11;13;0.019858399;56.13280106;32.70529938
2367;11;13;0.0124924;56.13259888;33.01779938
2368;11;13;0.00990001;56.13280106;33.00189972
2369;11;13;0.00719999;56.13290024;32.4905014
2370;11;13;0.0027;56.13299942;32.48329926
2371;11;13;0.320354015;56.13539886;33.15209961
2372;11;13;0.023399999;56.13399887;33.04940033
2373;11;13;0.00360001;56.13349915;33.11959839
2374;11;13;0.0198;56.13460159;32.53160095
2375;11;13;0.0027;56.13399887;32.98329926
2376;11;13;0.00269999;56.13410187;33.32989883
2377;11;13;0.0582202;56.13629913;33.16609955
2378;11;13;0.0495;56.13560104;33.02909851
2379;11;13;0.0306;56.13539886;33.04579926
2380;11;13;0.0288;56.13510132;33.18249893
2381;11;13;0.023029201;56.13600159;33.00120163
2382;11;13;0.160321996;56.13819885;33.23239899
2383;11;13;0.00899999;56.13570023;32.4477005
2384;11;13;0.0036;56.13579941;32.52959824
2385;11;13;0.00743002;56.13600159;32.98189926
2386;11;13;0.00270001;56.13589859;32.47449875
2387;11;13;0.0063;56.13610077;32.53390121
2388;11;13;0.00853054;56.13700104;33.02289963
2389;11;13;0.027000001;56.1371994;33.30780029
2390;11;13;0.107100002;56.13830185;32.98870087
2391;11;13;0.0124437;56.13710022;33.17979813
2392;11;13;0.0027;56.13679886;32.50999832
2393;11;13;0.00450001;56.13690186;32.4496994
2394;11;13;0.0108;56.13740158;33.04370117
2395;11;13;0.00899998;56.13729858;32.45399857
2396;11;13;0.00360001;56.13800049;33.04589844
2397;11;13;0.0027;56.13809967;32.69530106
2398;11;13;0.0036;56.13830185;33.04389954
2399;11;13;0.00360001;56.1385994;33.14599991
2400;11;13;0.00630001;56.13890076;33.20339966
2401;11;13;0.0099;56.13899994;33.24539948
2402;11;13;0.00449999;56.13880157;32.52569962
2403;11;13;0.027816899;56.14030075;32.99380112
2404;11;13;0.547954977;56.15000153;33.07849884
2405;11;13;0.00269999;56.13980103;33.23469925
2406;11;13;0.0224133;56.14070129;33.14810181
2407;11;13;0.017100001;56.14049911;33.23669815
2408;11;13;0.00990002;56.1405983;33.04159927
2409;11;13;0.0513;56.14229965;33.24539948
2410;11;13;0.124893002;56.14300156;33.04019928
2411;11;13;0.112499997;56.14149857;33.15650177
2412;11;13;0.00449999;56.14089966;32.40029907
2413;11;13;0.00900001;56.14110184;33.08240128
2414;11;13;0.0045;56.14110184;33.0862999
2415;11;13;0.0027;56.14149857;32.5102005
2416;11;13;0.0252;56.14220047;33.23120117
2417;11;13;0.047699999;56.14350128;33.2356987
2418;11;13;0.00989998;56.14229965;32.5320015
2419;11;13;0.00360001;56.14239883;33.08810043
2420;11;13;0.0054;56.14279938;32.98469925
2421;11;13;0.0027;56.14279938;33.05580139
2422;11;13;0.0027;56.14289856;33.05920029
2423;11;13;0.0045;56.14319992;32.68719864
2424;11;13;0.017999999;56.14360046;33.05749893
2425;11;13;0.0162;56.14390182;32.65510178
2426;11;13;0.096299998;56.14500046;33.08720016
2427;11;13;0.00270001;56.14350128;33.10089874
2428;11;13;0.0036;56.14390182;32.47159958
2429;11;13;0.0027;56.14390182;33.10620117
2430;11;13;0.0162;56.14450073;33.10380173
2431;11;13;0.022500001;56.14500046;32.65359879
2432;11;13;0.0027;56.14530182;32.47290039
2433;11;13;0.0063;56.14559937;32.65219879
2434;11;13;0.017100001;56.14619827;33.10589981
2435;11;13;0.021600001;56.14659882;33.24369812
2436;11;13;0.0117;56.14609909;32.42979813
2437;11;13;0.00539999;56.14590073;32.51089859
2438;11;13;0.0045;56.14599991;32.47240067
2439;11;13;0.0027;56.14590073;33.04190063
2440;11;13;0.00809999;56.14619827;32.65599823
2441;11;13;0.00540001;56.14590073;33.09960175
2442;11;13;0.0288;56.14690018;33.04710007
2443;11;13;0.0027;56.14599991;32.47109985
2444;11;13;0.0045;56.14649963;32.51819992
2445;11;13;0.00332145;56.14659882;32.64690018
2446;11;13;0.0261;56.14770126;33.10369873
2447;11;13;0.0174067;56.14680099;33.1867981
2448;11;13;0.0027;56.14670181;32.47169876
2449;11;13;0.0054;56.14699936;33.09159851
2450;11;13;0.055800099;56.14830017;33.21419907
2451;11;13;0.017999999;56.14830017;33.22570038
2452;11;13;0.0054;56.14810181;33.0870018
2453;11;13;0.0027;56.14789963;32.65499878
2454;11;13;0.0036;56.14820099;33.05070114
2455;11;13;0.0126;56.14860153;33.04460144
2456;11;13;0.00449999;56.14839935;32.51879883
2457;11;13;0.0414;56.14989853;32.70330048
2458;11;13;0.00450001;56.14870071;32.49620056
2459;11;13;0.174092993;56.15269852;33.18510056
2460;11;13;0.0054;56.14899826;33.1053009
2461;11;13;0.0036;56.14929962;32.43239975
2462;11;13;0.00629999;56.1493988;33.08800125
2463;11;13;0.00630002;56.14929962;32.51639938
2464;11;13;0.038233802;56.15090179;33.22219849
2465;11;13;0.0027;56.1495018;33.05889893
2466;11;13;0.00450001;56.15010071;32.44609833
2467;11;13;0.0875706;56.15319824;33.06959915
2468;11;13;0.653316975;56.15459824;33.05929947
2469;11;13;0.0036;56.15110016;33.19400024
2470;11;13;0.00450001;56.15110016;33.07120132
2471;11;13;0.409173012;56.1570015;33.20840073
2472;11;13;0.0099;56.15190125;32.52000046
2473;11;13;0.00360001;56.15159988;32.49599838
2474;11;13;0.00618294;56.15169907;33.16880035
2475;11;13;0.046799999;56.15319824;33.15859985
2476;11;13;0.00629999;56.15269852;32.53129959
2477;11;13;0.00359999;56.15259933;33.19459915
2478;11;13;0.00360001;56.15269852;33.16500092
2479;11;13;0.038335402;56.15409851;33.17210007
2480;11;13;0.00359999;56.15309906;33.16049957
2481;11;13;0.0198;56.15390015;33.16529846
2482;11;13;0.00629999;56.15359879;33.20050049
2483;11;13;0.0036;56.15340042;32.5177002
2484;11;13;0.0134038;56.15459824;33.2173996
2485;11;13;0.00449999;56.15439987;32.48310089
2486;11;13;0.218761995;56.1576004;33.17839813
2487;11;13;0.0045;56.15449905;33.09339905
2488;11;13;0.0126;56.1548996;33.24010086
2489;11;13;0.0027;56.15499878;32.43619919
2490;11;13;0.0045;56.15499878;33.07720184
2491;11;13;0.0108;56.15579987;33.24810028
2492;11;13;0.0261;56.15589905;33.19169998
2493;11;13;0.00354872;56.1554985;33.15650177
2494;11;13;0.0027;56.1554985;32.4897995
2495;11;13;0.0297;56.15650177;32.43840027
2496;11;13;0.071999997;56.15660095;32.70589828
2497;11;13;0.0252;56.15650177;32.42770004
2498;11;13;0.0027;56.15620041;33.06719971
2499;11;13;0.0027;56.15620041;32.5135994
2500;11;13;0.038699999;56.15750122;33.04629898
2501;11;13;0.00629999;56.15679932;32.54019928
2502;11;13;0.0036;56.15670013;32.49829865
2503;11;13;0.0135;56.15729904;32.39479828
2504;11;13;0.0063;56.1568985;32.49309921
2505;11;13;0.0027;56.15710068;33.23989868
2506;11;13;0.00269999;56.15729904;33.17419815
2507;11;13;0.017999999;56.15819931;33.24409866
2508;11;13;0.0135;56.15769958;32.52310181
2509;11;13;0.0036;56.15769958;32.520401
2510;11;13;0.0027;56.15779877;32.50149918
2511;11;13;0.032400001;56.15859985;32.5359993
2512;11;13;0.0108;56.15829849;32.43119812
2513;11;13;0.0153;56.15859985;33.05820084
2514;11;13;0.00539999;56.15819931;33.23970032
2515;11;13;0.0495;56.15940094;33.04869843
2516;11;13;0.0027;56.15840149;33.19409943
2517;11;13;0.00989999;56.15909958;32.42649841
2518;11;13;0.0020683;56.15859985;33.0428009
2519;11;13;0.046937101;56.15990067;33.25469971
2520;11;13;0.00449999;56.1590004;33.0945015
2521;11;13;0.00612846;56.15950012;33.04330063
2522;11;13;0.0036;56.15940094;32.50699997
2523;11;13;0.00540001;56.15980148;32.53789902
2524;11;13;0.0027;56.15999985;33.18190002
2525;11;13;0.0063;56.16030121;33.20550156
2526;11;13;0.0063;56.16040039;33.07089996
2527;11;13;0.017999999;56.1609993;33.26599884
2528;11;13;0.0117;56.16120148;32.54710007
2529;11;13;0.0036;56.16090012;32.4341011
2530;11;13;0.031500001;56.16159821;33.05789948
2531;11;13;0.0189;56.16159821;32.40230179
2532;11;13;0.0108;56.16130066;33.19430161
2533;11;13;0.021600001;56.16199875;33.17959976
2534;11;13;0.00269999;56.16180038;33.20209885
2535;11;13;0.038699999;56.16260147;33.05289841
2536;11;13;0.00630001;56.16210175;32.49280167
2537;11;13;0.0027;56.16230011;32.53379822
2538;11;13;0.0198;56.16289902;33.2458992
2539;11;13;0.0027;56.16249847;32.54679871
2540;11;13;0.0081;56.16279984;33.19419861
2541;11;13;0.064800002;56.16429901;33.08750153
2542;11;13;0.062110301;56.16469955;33.18090057
2543;11;13;0.022500001;56.1637001;32.42900085
2544;11;13;0.00449999;56.1631012;33.09999847
2545;11;13;0.00360001;56.16320038;33.18479919
2546;11;13;0.059179701;56.16450119;33.06499863
2547;11;13;0.023399999;56.16460037;33.05590057
2548;11;13;0.0072;56.16379929;33.23870087
2549;11;13;0.096299998;56.16540146;33.09899902
2550;11;13;0.00270001;56.16410065;32.52389908
2551;11;13;0.0189;56.16519928;32.73509979
2552;11;13;0.0027;56.16439819;33.05369949
2553;11;13;0.032400001;56.16550064;32.53519821
2554;11;13;0.0045;56.16540146;32.54370117
2555;11;13;0.0072;56.16529846;33.06140137
2556;11;13;0.0027;56.16550064;32.51570129
2557;11;13;0.142199993;56.16799927;33.07949829
2558;11;13;0.00269999;56.16590118;33.26710129
2559;11;13;0.0045;56.16630173;32.73590088
2560;11;13;0.00450001;56.16650009;32.4822998
2561;11;13;0.0054;56.16669846;32.47389984
2562;11;13;0.0036;56.16650009;32.49200058
2563;11;13;0.00269999;56.16659927;32.55039978
2564;11;13;0.0045;56.16680145;32.54840088
2565;11;13;0.00900003;56.16730118;33.09360123
2566;11;13;0.00810001;56.16790009;32.47510147
2567;11;13;0.0027;56.1678009;32.51739883
2568;11;13;0.0045;56.16809845;32.5542984
2569;11;13;0.0036;56.16830063;32.54790115
2570;11;13;0.037799999;56.16960144;32.45040131
2571;11;13;0.00900001;56.16870117;32.67089844
2572;11;13;0.00449998;56.16849899;32.520401
2573;11;13;0.00720001;56.16999817;32.47470093
2574;11;13;0.0117;56.16999817;32.66529846
2575;11;13;0.066192403;56.17179871;33.00500107
2576;11;13;0.00449998;56.17010117;32.49610138
2577;11;13;0.0045;56.17039871;32.64989853
2578;11;13;0.00450001;56.17050171;32.49259949
2579;11;13;0.00809999;56.17129898;32.67279816
2580;11;13;0.00269999;56.17110062;32.49900055
2581;11;13;0.0108;56.17160034;32.47460175
2582;11;13;0.00269999;56.1711998;32.55759811
2583;11;13;0.00269999;56.17139816;33.11600113
2584;11;13;0.023339501;56.17250061;33.25930023
2585;11;13;0.0207;56.17219925;32.50040054
2586;11;13;0.017100001;56.17300034;32.45069885
2587;11;13;0.00805137;56.17250061;32.99940109
2588;11;13;0.033300001;56.17309952;32.66260147
2589;11;13;0.0126;56.17290115;33.0033989
2590;11;13;0.0063;56.17300034;32.55199814
2591;11;13;0.00990001;56.17300034;33.07220078
2592;11;13;0.222299993;56.17819977;32.53070068
2593;11;13;0.00270001;56.17290115;32.5223999
2594;11;13;0.027899999;56.17459869;33.06909943
2595;11;13;0.00360001;56.17419815;33.08369827
2596;11;13;0.00899999;56.17509842;32.55979919
2597;11;13;0.009;56.17520142;32.49539948
2598;11;13;0.0405;56.17580032;33.00960159
2599;11;13;0.0036;56.17520142;33.2521019
2600;11;13;0.0072;56.1753006;33.0041008
2601;11;13;0.009;56.17580032;33.10039902
2602;11;13;0.0207;56.17639923;32.53350067
2603;11;13;0.0027;56.17630005;32.50009918
2604;11;13;0.0054;56.17649841;32.46099854
2605;11;13;0.00720001;56.17660141;32.55210114
2606;11;13;0.0144;56.17699814;33.06420135
2607;11;13;0.00899999;56.17699814;33.10189819
2608;11;13;0.00540001;56.17720032;32.53549957
2609;11;13;0.0108;56.1772995;33.08959961
2610;11;13;0.00539999;56.17739868;33.0135994
2611;11;13;0.0081;56.17789841;32.67819977
2612;11;13;0.0027;56.17760086;32.47240067
2613;11;13;0.0045;56.17789841;33.09790039
2614;11;13;0.0036;56.17869949;33.00709915
2615;11;13;0.0027;56.17879868;32.67580032
2616;11;13;0.053100001;56.18050003;33.25360107
2617;11;13;0.0045;56.17919922;32.49980164
2618;11;13;0.017999999;56.17990112;32.50379944
2619;11;13;0.0189;56.18059921;32.47610092
2620;11;13;0.0132731;56.18000031;33.06439972
2621;11;13;0.0027;56.17979813;32.48469925
2622;11;13;0.0027;56.17979813;32.67819977
2623;11;13;0.0027;56.17969894;32.48590088
2624;11;13;0.0036;56.17990112;32.68009949
2625;11;13;0.0027;56.17969894;33.10800171
2626;11;13;0.0099;56.18019867;32.69739914
2627;11;13;0.0081;56.18009949;32.47850037
2628;11;13;0.017999999;56.18149948;32.50920105
2629;11;13;0.0027;56.1814003;32.45980072
2630;11;13;0.00720001;56.18190002;33.00370026
2631;11;13;0.0027;56.18180084;32.5033989
2632;11;13;0.0081;56.18239975;32.70479965
2633;11;13;0.00450001;56.18220139;32.51890182
2634;11;13;0.035100002;56.18379974;32.49620056
2635;11;13;0.0288;56.18330002;32.51390076
2636;11;13;0.414741993;56.19039917;32.53269958
2637;11;13;0.0027;56.18249893;32.54370117
2638;11;13;0.00629999;56.18289948;32.50960159
2639;11;13;0.0027;56.18259811;32.70690155
2640;11;13;0.0036;56.18349838;32.54389954
2641;11;13;0.0054;56.18370056;32.47829819
2642;11;13;0.0027;56.1833992;32.70470047
2643;11;13;0.108000003;56.18640137;32.70550156
2644;11;13;0.0027;56.18399811;32.5007019
2645;11;13;0.00269999;56.18429947;32.71250153
2646;11;13;0.0027;56.18429947;32.51839828
2647;11;13;0.0027;56.18429947;32.7010994
2648;11;13;0.0027;56.18450165;32.50989914
2649;11;13;0.023399999;56.1853981;32.62599945
2650;11;13;0.00359998;56.18519974;32.99530029
2651;11;13;0.0027;56.18519974;33.26100159
2652;11;13;0.022500001;56.18640137;32.70000076
2653;11;13;0.0252;56.18690109;32.53939819
2654;11;13;0.0036;56.18659973;33.25479889
2655;11;13;0.00539999;56.18700027;33.25600052
2656;11;13;0.0045;56.18730164;32.70059967
2657;11;13;0.0243;56.18769836;32.99649811
2658;11;13;0.0027;56.18740082;32.52289963
2659;11;13;0.0099;56.18809891;32.5279007
2660;11;13;0.0099;56.18790054;33.25709915
2661;11;13;0.057599999;56.19029999;33.23590088
2662;11;13;0.00629999;56.18970108;33.26699829
2663;11;13;0.00266002;56.18970108;32.9958992
2664;11;13;0.00635659;56.19129944;32.9280014
2665;11;13;0.00269999;56.19120026;33.11389923
2666;11;13;0.0054;56.19169998;32.61489868
2667;11;13;0.042241801;56.19300079;32.99729919
2668;11;13;0.0405;56.19300079;32.93209839
2669;11;13;0.0027;56.19219971;32.50889969
2670;11;13;0.00269999;56.19290161;32.6228981
2671;11;13;0.0036;56.19309998;32.5094986
2672;11;13;0.021600001;56.19419861;32.60699844
2673;11;13;0.0135;56.19499969;33.2417984
2674;11;13;0.021600001;56.1969986;32.51200104
2675;11;13;0.00899999;56.19739914;32.5387001
2676;11;13;0.00989998;56.19800186;32.61130142
2677;11;13;0.021600001;56.19860077;33.05960083
2678;11;13;0.00535924;56.19940186;32.5401001
2679;11;13;0.0126;56.19979858;32.60990143
2680;11;13;0.0189;56.20029831;33.05989838
2681;11;13;0.0027;56.20000076;33.07139969
2682;11;13;0.0154181;56.20040131;32.53469849
2683;11;13;0.0027;56.20029831;32.60620117
2684;11;13;0.0126;56.20080185;32.99480057
2685;11;13;0.0036;56.20100021;33.13240051
2686;11;13;0.022500001;56.20199966;33.05820084
2687;11;13;0.0027;56.20130157;33.06729889
2688;11;13;0.0036;56.20280075;33.07360077
2689;11;13;0.0243;56.20420074;33.13479996
2690;11;13;0.0036;56.20539856;32.6006012
2691;11;13;0.00540001;56.20550156;33.13339996
2692;11;13;0.021600001;56.20619965;33.22869873
2693;11;13;0.0027;56.20600128;33.13280106
2694;11;13;0.0027;56.20629883;33.13610077
2695;11;13;0.00899989;56.20690155;33.07320023
2696;11;13;0.0027;56.20700073;33.13119888
2697;11;13;0.0108;56.20729828;33.41500092
2698;11;13;0.0153;56.20780182;32.60200119
2699;11;13;0.0027;56.20729828;33.05039978
2700;11;13;0.00360001;56.207901;33.07350159
2701;11;13;0.0027;56.207901;33.42570114
2702;11;13;0.00900001;56.20909882;33.0591011
2703;11;13;0.0099;56.20949936;33.06159973
2704;11;13;0.0099;56.20980072;33.03789902
2705;11;13;0.0036;56.20999908;33.05569839
2706;11;13;0.0117;56.21049881;33.02840042
2707;11;13;0.0126;56.21089935;33.45040131
2708;11;13;0.0054;56.21060181;33.05329895
2709;11;13;0.00540001;56.21049881;33.07180023
2710;11;13;0.00539999;56.21080017;33.03919983
2711;11;13;0.00540001;56.21080017;33.24489975
2712;11;13;0.0036;56.21110153;33.07440186
2713;11;13;0.00270001;56.21110153;33.05899811
2714;11;13;0.065700002;56.21269989;33.03219986
2715;11;13;0.0036;56.2112999;33.06209946
2716;11;13;0.127586007;56.21310043;33.43040085
2717;11;13;0.0027;56.2120018;33.02769852
2718;11;13;0.035920799;56.2132988;32.6067009
2719;11;13;0.032400001;56.2132988;32.83330154
2720;11;13;0.00359999;56.21229935;33.06949997
2721;11;13;0.00269999;56.21250153;33.04589844
2722;11;13;0.081900001;56.21469879;32.59619904
2723;11;13;0.0135;56.2132988;33.41910172
2724;11;13;0.00665231;56.21310043;33.46500015
2725;11;13;0.00629999;56.21360016;33.44039917
2726;11;13;0.0027;56.21350098;33.43909836
2727;11;13;0.0306;56.21450043;32.72119904
2728;11;13;0.0045;56.21409988;33.23559952
2729;11;13;0.0306;56.2154007;32.83209991
2730;11;13;0.1611;56.21630096;33.02679825
2731;11;13;0.0162;56.21559906;32.83950043
2732;11;13;0.00707172;56.21569824;32.84619904
2733;11;13;0.00449999;56.21630096;32.83779907
2734;11;13;0.0072;56.21649933;33.0522995
2735;11;13;0.00204027;56.21649933;32.84999847
2736;11;13;0.00461222;56.21649933;32.85189819
2737;11;13;0.00270001;56.21659851;32.72240067
2738;11;13;0.0189001;56.21699905;32.59790039
2739;11;13;0.00252662;56.21689987;32.85340118
2740;11;13;0.0063;56.21730042;33.22639847
2741;11;13;0.0189;56.2173996;32.72449875
2742;11;13;0.0162;56.21770096;33.22140121
2743;11;13;0.0054;56.21780014;32.7201004
2744;11;13;0.00899996;56.21770096;33.03559875
2745;11;13;0.00360001;56.21780014;33.22829819
2746;11;13;0.0153;56.21860123;33.06290054
2747;11;13;0.021600001;56.21889877;32.71239853
2748;11;13;0.0270002;56.21870041;33.45410156
2749;11;13;0.0198;56.21900177;33.43610001
2750;11;13;0.045899998;56.2193985;33.4394989
2751;11;13;0.0027;56.21870041;33.42430115
2752;11;13;0.0126;56.21900177;33.42810059
2753;11;13;0.00450001;56.21910095;33.06000137
2754;11;13;0.045899998;56.22109985;32.59640121
2755;11;13;0.0162;56.22000122;32.63389969
2756;11;13;0.00720001;56.21960068;32.64929962
2757;11;13;0.0027;56.21969986;32.6427002
2758;11;13;0.102305003;56.22240067;32.5882988
2759;11;13;0.0297;56.22040176;33.06200027
2760;11;13;0.065700002;56.22140121;33.03089905
2761;11;13;0.00360001;56.22079849;33.22629929
2762;11;13;0.0036;56.22109985;32.5984993
2763;11;13;0.0495;56.22200012;32.99449921
2764;11;13;0.045000002;56.22219849;32.83950043
2765;11;13;0.0207;56.22249985;32.84719849
2766;11;13;0.0036;56.2220993;33.07899857
2767;11;13;0.0207;56.22280121;33.03689957
2768;11;13;0.0027;56.22240067;33.44219971
2769;11;13;0.017100001;56.22340012;32.66450119
2770;11;13;0.00899999;56.22309875;33.02870178
2771;11;13;0.021600001;56.22380066;33.09170151
2772;11;13;0.00810001;56.22340012;32.59349823
2773;11;13;0.027000001;56.22409821;32.98809814
2774;11;13;0.00990001;56.22480011;32.98479843
2775;11;13;0.0063;56.22449875;32.62229919
2776;11;13;0.027899999;56.22529984;33.0802002
2777;11;13;0.0036;56.22470093;32.61840057
2778;11;13;0.022500001;56.22539902;33.05720139
2779;11;13;0.0045;56.2256012;32.58929825
2780;11;13;0.0063;56.22579956;33.06520081
2781;11;13;0.0081;56.22650146;32.59080124
2782;11;13;0.117195003;56.22689819;32.57630157
2783;11;13;0.0036;56.22650146;33.07529831
2784;11;13;0.036683999;56.22740173;32.60810089
2785;11;13;0.077789597;56.22729874;33.06269836
2786;11;13;0.00970173;56.22710037;32.59320068
2787;11;13;0.0103864;56.22809982;33.0705986
2788;11;13;0.017100001;56.22829819;32.59659958
2789;11;13;0.009;56.22840118;32.63209915
2790;11;13;0.0108;56.22850037;32.59960175
2791;11;13;0.00226207;56.22850037;33.07410049
2792;11;13;0.022500001;56.22909927;33.03939819
2793;11;13;0.00990001;56.23040009;32.61809921
2794;11;13;0.00990001;56.23089981;32.60649872
2795;11;13;0.0072;56.23080063;32.5931015
2796;11;13;0.00360001;56.23059845;32.59569931
2797;11;13;0.0151431;56.23220062;32.61510086
2798;11;13;0.0027;56.23189926;32.5929985
2799;11;13;0.036555801;56.23320007;33.0522995
2800;11;13;0.0063;56.2322998;32.62110138
2801;11;13;0.0063;56.23289871;32.61209869
2802;11;13;0.0102249;56.23350143;32.60300064
2803;11;13;0.338227987;56.23920059;32.58729935
2804;11;13;0.00398792;56.23360062;32.59600067
2805;11;13;0.0027;56.23389816;32.60620117
2806;11;13;0.0054;56.23559952;33.09170151
2807;11;13;0.00256985;56.23559952;33.05130005
2808;11;13;0.00360001;56.23730087;33.09669876
2809;11;13;0.00454918;56.23759842;32.58789825
2810;11;13;0.032155398;56.23880005;32.57939911
2811;11;13;0.035823401;56.23860168;33.11669922
2812;11;13;0.027000001;56.23839951;33.09759903
2813;11;13;0.027000001;56.24129868;33.11660004
