;Perm State University, Perm, Russia, 614990;;;;
74;3;4;0.00360001;60.97109985;53.95809937
75;3;4;0.0027;60.97100067;53.96789932
76;3;4;0.0153;60.97180176;53.9720993
77;3;4;0.0036;60.97119904;53.96160126
78;3;4;0.00491336;60.97259903;53.94779968
79;3;4;0.0027;60.97290039;53.95370102
80;3;4;0.00270001;60.97320175;53.96469879
81;3;4;0.0018;60.97370148;53.96300125
82;3;4;0.00989999;60.97460175;53.96260071
83;3;4;0.0027;60.97449875;53.96469879
84;3;4;0.0288;60.9762001;53.95830154
85;3;4;0.00360001;60.97570038;53.96390152
86;3;4;0.00990001;60.97600174;53.96609879
87;3;4;0.043200001;60.97719955;53.96989822
88;3;4;0.0027;60.97719955;53.96260071
89;3;4;0.0144;60.97850037;53.97190094
90;3;4;0.00269999;60.97809982;53.96080017
91;3;4;0.00212238;60.98279953;53.94189835
92;3;4;0.0027;60.98659897;53.94279861
93;3;4;0.0018;60.9878006;53.94290161
94;3;4;0.00540001;60.99119949;53.94540024
95;3;4;0.0027;60.99160004;53.93640137
96;3;4;0.035999998;60.99259949;53.94409943
97;3;4;0.0018;60.99240112;53.93669891
98;4;2;0.00515574;55.46500015;40.45589828
99;4;2;0.043132599;55.46860123;40.46609879
100;4;2;0.473677993;55.47769928;40.48300171
101;4;2;0.0292471;55.49160004;40.50360107
102;4;2;0.069970898;55.49919891;40.51789856
103;4;2;0.00356611;55.5060997;40.52600098
104;4;2;0.034521502;55.50839996;40.52890015
105;5;1;0.00899999;58.4070015;32.05849838
106;5;1;0.00899998;58.40940094;32.0605011
107;5;1;0.053999901;58.4117012;32.04899979
108;5;1;0.00630001;58.41139984;32.05960083
109;5;1;0.0027;58.4117012;32.0617981
110;5;1;0.0018;58.41210175;32.05680084
111;5;1;0.00629999;58.41260147;32.04370117
112;5;1;0.0018;58.41289902;32.06060028
113;5;1;0.0243;58.41419983;32.0646019
114;5;1;0.0117;58.41400146;32.04359818
115;5;1;0.00359999;58.41619873;32.04169846
116;5;1;0.0072;58.41640091;32.0489006
117;5;1;0.0207;58.41740036;32.05960083
118;5;1;0.0117;58.41790009;32.04639816
119;5;1;0.064800002;58.41949844;32.05670166
120;5;1;0.2007;58.42160034;32.04710007
121;5;1;0.0135;58.41880035;32.04079819
122;5;1;0.0405;58.41970062;32.03620148
123;5;1;0.0018;58.41839981;32.04309845
124;5;1;0.0027;58.41899872;32.06230164
125;5;1;0.00450001;58.42050171;32.0522995
126;5;1;0.0126;58.4219017;32.04090118
127;5;1;0.00810001;58.42179871;32.05590057
128;5;1;0.00539999;58.42300034;32.05699921
129;5;1;0.0027;58.4233017;32.05830002
130;5;1;0.00630002;58.42419815;32.05979919
131;5;1;0.109800003;58.42739868;32.05419922
132;5;1;0.0027;58.42490005;32.04740143
133;5;1;0.017999999;58.42559814;32.04240036
134;5;1;0.0027;58.42770004;32.06190109
135;5;1;0.00359999;58.43059921;32.05099869
136;5;1;0.0027;58.43450165;32.06510162
137;5;1;0.0117;58.43529892;32.06729889
138;5;1;0.0018;58.43590164;32.06230164
139;6;11;0.00203109;52.46409988;39.68299866
140;6;11;0.00310044;52.46680069;39.68330002
141;6;11;0.318661988;52.47790146;39.67990112
142;6;11;1.556470037;52.50479889;39.6617012
143;6;11;0.00213548;52.53079987;39.6473999
144;6;11;0.031834099;52.5359993;39.64300156
145;7;10;0.0113066;54.56689835;38.94459915
146;7;10;0.0141619;54.57960129;38.93529892
147;7;10;0.112614997;54.58560181;38.92520142
148;7;10;0.00639796;54.59329987;38.91740036
149;7;10;0.065808997;54.61930084;38.89849854
150;7;10;0.018183799;54.62220001;38.8993988
151;7;10;0.177196994;54.63499832;38.89410019
152;7;10;0.066820502;54.64110184;38.88830185
153;7;10;0.066693299;54.64590073;38.8844986
154;7;10;0.027645299;54.66809845;38.88079834
155;7;10;0.227800995;54.7030983;38.86389923
156;7;10;0.0101429;54.7112999;38.85810089
157;7;10;0.00496814;54.71709824;38.85480118
158;7;10;0.038715899;54.82929993;38.79840088
159;7;10;0.0274211;54.83229828;38.79850006
160;7;10;0.019950001;54.83509827;38.79880142
161;7;10;0.068403602;54.83800125;38.79850006
162;7;10;0.123485997;54.84489822;38.79370117
163;7;10;0.0244797;54.84980011;38.78630066
164;7;10;0.034007199;54.85969925;38.78409958
165;7;10;0.127314001;54.86589813;38.7840004
166;7;10;0.040810999;54.89229965;38.77539825
167;7;10;0.029723501;54.89699936;38.77479935
168;7;10;0.072042197;54.90240097;38.77349854
169;7;10;0.00719435;54.92240143;38.7655983
170;8;13;0.0027;56.80149841;30.28210068
171;8;13;0.00719999;56.80410004;30.75690079
172;8;13;0.0081;56.80459976;30.28230095
173;8;13;0.0054;56.80469894;30.26469994
174;8;13;0.0045;56.80519867;30.25979996
175;8;13;0.0189;56.80580139;30.76580048
176;8;13;0.017100001;56.80659866;30.7602005
177;8;13;0.0261;56.80830002;30.7614994
178;8;13;0.057599999;56.80920029;30.25519943
179;8;13;0.00180001;56.80879974;30.75939941
180;8;13;0.0018;56.80899811;30.77059937
181;8;13;0.078299999;56.81219864;30.75849915
182;8;13;0.017100001;56.81409836;30.28520012
183;8;13;0.00180001;56.81380081;30.75460052
184;8;13;0.0027;56.81549835;30.28829956
185;8;13;0.0027;56.81629944;30.75659943
186;8;13;0.141299993;56.81850052;30.76650047
187;8;13;0.00269999;56.81740189;30.27659988
188;8;13;0.0045;56.81909943;30.76029968
189;8;13;0.0027;56.81980133;30.75849915
190;8;13;0.0207;56.82040024;30.2772007
191;8;13;0.00180001;56.82030106;30.77230072
192;8;13;0.0036;56.82089996;30.77009964
193;8;13;0.0027;56.82109833;30.27470016
194;8;13;0.027899999;56.82220078;30.76980019
195;8;13;0.0027;56.82239914;30.26849937
196;8;13;0.0018;56.82289886;30.77269936
197;8;13;0.00809999;56.82320023;30.26889992
198;8;13;0.027899999;56.82400131;30.76840019
199;8;13;0.093599997;56.82699966;30.77479935
200;8;13;0.0063;56.8260994;30.77099991
201;8;13;0.0036;56.82649994;30.7677002
202;8;13;0.0027;56.82789993;30.77099991
203;8;13;0.0153;56.82839966;30.76449966
204;8;13;0.00720002;56.82889938;30.25130081
205;8;13;0.0018;56.83069992;30.25090027
206;8;13;0.0027;56.83179855;30.75860023
207;8;13;0.0018;56.83169937;30.26840019
208;8;13;0.0027;56.83240128;30.26609993
209;8;13;0.0018;56.83240128;30.75600052
210;8;13;0.0063;56.83409882;30.24780083
211;8;13;0.0198;56.83599854;30.7833004
212;8;13;0.00539997;56.8362999;30.24769974
213;8;13;0.00989998;56.83750153;30.25379944
214;8;13;0.00360001;56.83950043;30.77429962
215;8;13;0.0261;56.84189987;30.23550034
216;8;13;0.0153;56.84460068;30.77779961
217;8;13;0.00449999;56.84799957;30.77869987
218;8;13;0.0018;56.84840012;30.78000069
219;8;13;0.0072;56.85070038;30.78190041
220;8;13;0.0075826;56.86220169;30.20540047
221;8;13;0.0045;56.86420059;30.21279907
222;8;13;0.0018;56.86560059;30.21430016
223;8;13;0.0036;57.02769852;30.27700043
224;8;13;0.0027;57.02880096;30.27840042
225;8;13;0.0612;57.03070068;30.27470016
226;8;13;0.0018;57.03210068;30.2689991
227;8;13;0.0045;57.03239822;30.27050018
228;8;13;0.00270001;57.03340149;30.27490044
229;8;13;0.00180001;57.03509903;30.26420021
230;8;13;0.0036;57.03540039;30.22820091
231;8;13;0.0198;57.03789902;30.25009918
232;8;13;0.0045;57.0379982;30.25690079
233;8;13;0.00899999;57.03889847;30.22330093
234;8;13;0.0018;57.04320145;30.22640038
235;8;13;0.0144;57.04489899;30.22800064
236;8;13;0.00989997;57.0461998;30.17320061
237;8;13;0.0045;57.04700089;30.22660065
238;8;13;0.017999999;57.04779816;30.17720032
239;8;13;0.0027;57.0489006;30.17569923
240;8;13;0.047699999;57.05039978;30.21929932
241;8;13;0.00180001;57.04959869;30.17510033
242;8;13;0.0027;57.05160141;30.23010063
243;9;13;0.0144025;56.48870087;29.59119987
244;9;13;0.00990158;56.48910141;29.62630081
245;9;13;0.00810135;56.48870087;29.61269951
246;9;13;0.00270042;56.48920059;29.62450027
247;9;13;0.0108019;56.48960114;29.5970993
248;9;13;0.0171027;56.49020004;29.62369919
249;9;13;0.027004199;56.49100113;29.62899971
250;9;13;0.0153027;56.49129868;29.58460045
251;9;13;0.0234037;56.49209976;29.6243
252;9;13;0.00270042;56.49169922;29.63150024
253;9;13;0.00720124;56.49240112;29.59810066
254;9;13;0.022503801;56.49420166;29.59939957
255;9;13;0.0117019;56.49430084;29.62290001
256;9;13;0.00450086;56.49729919;29.56060028
